name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated
RepoListToCSV-Python,https://github.com/AnkitDroidGit/RepoListToCSV-Python,AnkitDroidGit,1,0,0,0,2018-04-17T14:42:50Z
amas,https://github.com/sindresorhus/amas,sindresorhus,43,946,180,1,2018-04-17T08:25:29Z
Annual-Reading-List,https://github.com/davidskeck/Annual-Reading-List,davidskeck,12,43,4,1,2018-04-06T02:16:02Z
awesome-biology,https://github.com/vivekiitkgp/awesome-biology,raivivek,13,70,17,0,2018-02-20T19:50:45Z
awesome-fantasy,https://github.com/RichardLitt/awesome-fantasy,RichardLitt,16,311,28,0,2018-04-17T05:07:42Z
awesome-gif,https://github.com/Kikobeats/awesome-gif,Kikobeats,5,60,2,0,2018-03-17T14:43:50Z
awesome-glasgow,https://github.com/allyjweir/awesome-glasgow,allyjweir,1,2,0,0,2016-08-20T18:44:35Z
awesome-health,https://github.com/prabhic/awesome-health,prabhic,6,19,0,0,2018-03-25T16:48:25Z
awesome-images,https://github.com/heyalexej/awesome-images,heyalexej,109,1624,202,27,2018-04-16T19:37:14Z
awesome-kimchi,https://github.com/jeyraof/awesome-kimchi,jeyraof,1,39,3,0,2018-04-15T07:15:42Z
awesome-motion-planning,https://github.com/AGV-IIT-KGP/awesome-motion-planning,AGV-IIT-KGP,38,44,28,4,2018-04-11T23:25:19Z
awesome-scifi,https://github.com/sindresorhus/awesome-scifi,sindresorhus,95,1660,136,7,2018-04-17T13:46:33Z
awesome-webcomics,https://github.com/dhamaniasad/awesome-webcomics,dhamaniasad,4,21,5,0,2018-03-29T19:39:07Z
baby-sleep,https://github.com/babyguides/baby-sleep,simple10,1,8,1,0,2018-01-17T13:55:38Z
aksh,https://github.com/svaksha/biology,svaksha,3,16,2,0,2018-03-08T11:40:34Z
cocktails,https://github.com/balevine/cocktails,balevine,7,63,24,2,2018-03-26T21:11:48Z
corporate-logos,https://github.com/marketreef/corporate-logos,marketreef,1,13,0,1,2017-01-15T19:06:18Z
creative-commons-media,https://github.com/shime/creative-commons-media,shime,24,218,19,1,2018-04-10T16:22:50Z
dissertation-tips,https://github.com/katychuang/dissertation-tips,katychuang,2,23,2,0,2018-03-06T13:47:15Z
endangered-languages,https://github.com/RichardLitt/endangered-languages,RichardLitt,24,166,39,2,2018-04-16T15:09:57Z
food-recipes,https://github.com/obfuscurity/food-recipes,obfuscurity,2,28,9,1,2018-01-22T18:43:30Z
lawrence-veggie,https://github.com/codysoyland/lawrence-veggie,codysoyland,2,7,0,0,2016-07-14T01:51:49Z
lawyersongithub,https://github.com/dpp/lawyersongithub,dpp,29,75,115,52,2018-02-18T20:06:44Z
mining-resources,https://github.com/Mining-Resources/mining-resources,Mining-Resources,3,4,0,0,2017-11-16T07:22:56Z
PublicMedia,https://github.com/melodykramer/PublicMedia,melodykramer,17,31,33,6,2018-03-13T18:37:51Z
recipes,https://github.com/bzimmerman/recipes,bzimmerman,2,5,14,1,2018-01-13T22:06:04Z
recipes,https://github.com/csswizardry/recipes,csswizardry,2,36,4,1,2017-10-12T16:34:39Z
recipes,https://github.com/csclug/recipes,csclug,7,5,7,0,2014-09-09T04:13:03Z
recipes,https://github.com/LarryMad/recipes,LarryMad,7,53,20757,1899,2018-04-07T18:01:12Z
recipes,https://github.com/schacon/recipes,schacon,3,13,32,0,2017-04-30T07:34:05Z
aksh,https://github.com/svaksha/scientia,svaksha,3,16,2,0,2018-03-08T11:40:34Z
shelfies,https://github.com/kyro/shelfies,kyro,9,33,5,2,2018-04-04T01:20:34Z
SiliconValleyThingsToDo,https://github.com/cjbarber/SiliconValleyThingsToDo,cjbarber,6,180,4,0,2018-04-06T09:29:38Z
sf-vegetarian-restaurants,https://github.com/mojombo/sf-vegetarian-restaurants,mojombo,4,142,37,0,2018-03-25T01:38:46Z
teesites,https://github.com/elder-cb/teesites,elder-cb,5,32,12,0,2018-02-26T20:48:04Z
tacofancy,https://github.com/sinker/tacofancy,sinker,87,1087,386,11,2018-04-15T14:58:29Z
101,https://github.com/ojas/101,ojas,3,58,4,0,2018-04-14T00:52:42Z
critical-path-css-tools,https://github.com/addyosmani/above-the-fold-css-tools,addyosmani,59,962,41,4,2018-04-17T17:05:29Z
admesh-projects,https://github.com/admesh/admesh-projects,admesh,2,1,0,0,2016-01-25T17:11:07Z
algovis,https://github.com/enjalot/algovis,enjalot,71,848,74,6,2018-04-17T17:47:11Z
alternative-internet,https://github.com/redecentralize/alternative-internet,redecentralize,290,3081,347,32,2018-04-17T14:54:25Z
android-awesome-libraries,https://github.com/kaiinui/android-awesome-libraries,kaiinui,6,96,18,1,2018-02-25T08:50:44Z
AndroidDevTools,https://github.com/inferjay/AndroidDevTools,inferjay,667,5739,1922,6,2018-04-17T07:11:46Z
android-dev-readme,https://github.com/anirudh24seven/android-dev-readme,anirudh24seven,37,460,59,0,2018-03-08T02:48:36Z
